PinNo,Name,Type,Analog,PWM,Interrupt
1,GND,GND,0,0,0
2,0,GPIO,0,0,1
3,1,GPIO,0,0,1
4,2,GPIO,0,0,1
5,3,GPIO,0,1,1
6,4,GPIO,0,1,1
7,5,GPIO,0,1,1
8,6,GPIO,0,1,1
9,7,GPIO,0,0,1
10,8,GPIO,0,0,1
11,9,GPIO,0,0,1
12,10,GPIO,0,0,1
13,MOSI,MOSI,0,0,1
14,MISO,MISO,0,0,1
15,VBat,NONE,0,0,0
16,3.3V,_3V,0,0,0
17,GND,GND,0,0,0
18,PRG,NONE,0,0,0
19,DAC,NONE,1,0,0
20,SCK,SCK,0,0,1
21,A0,GPIO,1,0,1
22,A1,GPIO,1,0,1
23,A2,GPIO,1,0,1
24,A3,GPIO,1,0,1
25,A4,GPIO,1,0,1
26,A5,GPIO,1,0,1
27,A6,GPIO,1,1,1
28,A7,GPIO,1,1,1
29,A8,GPIO,1,1,1
30,A9,GPIO,1,1,1
31,3.3V,_3V,0,0,0
32,AGND,GND,0,0,0
33,VIN,VIN,0,0,0
